epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.481,1.32839,4.37254,1.22549,0.02695,0.43875,0.03451,0.02641,1.08039,3.94079,1.12276,8.6734e-05,8.6734e-05,8.6734e-05
2,1051,1.25957,3.51951,1.19702,0.18441,0.2327,0.14976,0.11272,1.10185,3.22832,1.18902,0.000170948,0.000170948,0.000170948
3,1570.35,1.27441,3.01788,1.21481,0.28651,0.45303,0.31549,0.22916,1.12519,2.62131,1.1879,0.00025169,0.00025169,0.00025169
4,2088.17,1.23929,2.6468,1.19617,0.35556,0.56827,0.38834,0.28373,1.07605,2.4558,1.16596,0.000247378,0.000247378,0.000247378
5,2608.4,1.21624,2.43447,1.18516,0.44239,0.53223,0.47814,0.35198,1.04333,2.21804,1.14262,0.00024217,0.00024217,0.00024217
6,3139.4,1.21661,2.32454,1.1788,0.50855,0.52789,0.51772,0.38147,1.09259,2.19425,1.15425,0.000236963,0.000236963,0.000236963
7,3658.66,1.18234,2.19437,1.17005,0.55015,0.58725,0.57909,0.43257,1.04288,1.95403,1.13495,0.000231756,0.000231756,0.000231756
8,4185.38,1.16864,2.0621,1.15157,0.58783,0.63148,0.60798,0.44975,1.07524,1.84567,1.14753,0.000226548,0.000226548,0.000226548
9,4703.29,1.13415,1.98838,1.15813,0.64066,0.6347,0.63935,0.4779,1.01238,1.79555,1.12221,0.000221341,0.000221341,0.000221341
10,5229.84,1.13267,1.88134,1.14571,0.68337,0.64668,0.67206,0.50224,1.03694,1.75575,1.13234,0.000216133,0.000216133,0.000216133
11,5753.49,1.1251,1.83266,1.13421,0.73048,0.69467,0.71833,0.53183,1.03856,1.60207,1.12325,0.000210926,0.000210926,0.000210926
12,6277.69,1.10745,1.76835,1.12733,0.7543,0.66527,0.71855,0.53819,1.00725,1.61543,1.10505,0.000205719,0.000205719,0.000205719
13,6798.31,1.08908,1.67,1.11236,0.80388,0.70713,0.75247,0.55833,1.04579,1.54536,1.13212,0.000200511,0.000200511,0.000200511
14,7324.43,1.07381,1.62615,1.1108,0.83028,0.70287,0.76046,0.5633,1.02431,1.51211,1.1113,0.000195304,0.000195304,0.000195304
15,7847.42,1.11199,1.62903,1.12493,0.85967,0.70916,0.765,0.56437,1.02696,1.47621,1.12124,0.000190096,0.000190096,0.000190096
16,8369.99,1.10798,1.62693,1.12526,0.85154,0.74137,0.7883,0.58607,1.01538,1.39495,1.10763,0.000184889,0.000184889,0.000184889
17,8897.13,1.09236,1.57567,1.12155,0.85775,0.75802,0.79174,0.58912,1.0086,1.38505,1.11388,0.000179682,0.000179682,0.000179682
18,9419.69,1.09025,1.51165,1.11685,0.82311,0.74902,0.7873,0.59153,1.00123,1.37399,1.09233,0.000174474,0.000174474,0.000174474
19,9945.06,1.07263,1.47877,1.09807,0.8809,0.759,0.80279,0.59922,0.99858,1.36102,1.10256,0.000169267,0.000169267,0.000169267
20,10464.3,1.06966,1.44739,1.10342,0.89556,0.76213,0.81272,0.6069,0.97101,1.30512,1.09342,0.000164059,0.000164059,0.000164059
21,10985.4,1.09506,1.50669,1.11395,0.89738,0.74502,0.8078,0.60244,0.9937,1.34454,1.0939,0.000158852,0.000158852,0.000158852
22,11504.5,1.06215,1.44045,1.09605,0.87865,0.75591,0.80627,0.60171,1.00362,1.31162,1.10041,0.000153645,0.000153645,0.000153645
23,12017.4,1.05395,1.38342,1.09511,0.90577,0.78076,0.8197,0.61234,0.98721,1.24787,1.09121,0.000148437,0.000148437,0.000148437
24,12533.8,1.04388,1.37229,1.08747,0.89595,0.79518,0.82528,0.6184,0.98538,1.23526,1.09552,0.00014323,0.00014323,0.00014323
25,13050.1,1.06052,1.38162,1.09596,0.92168,0.74208,0.80695,0.6011,1.00954,1.2953,1.11176,0.000138022,0.000138022,0.000138022
26,13565.4,1.09683,1.38426,1.11231,0.89922,0.79687,0.82435,0.61164,0.99759,1.22931,1.1006,0.000132815,0.000132815,0.000132815
27,14085.4,1.0403,1.35679,1.08516,0.91511,0.79105,0.82558,0.61602,0.98887,1.21419,1.09988,0.000127608,0.000127608,0.000127608
28,14609.7,1.05292,1.33655,1.08276,0.92019,0.77097,0.82446,0.61604,0.98822,1.23363,1.09584,0.0001224,0.0001224,0.0001224
29,15126.9,1.03938,1.30389,1.09223,0.91868,0.78898,0.82785,0.61534,0.98743,1.22385,1.09823,0.000117193,0.000117193,0.000117193
30,15648.5,1.03973,1.29212,1.09103,0.92272,0.74625,0.80648,0.60059,1.01474,1.30045,1.11106,0.000111985,0.000111985,0.000111985
31,16166.2,1.0534,1.30401,1.09473,0.92522,0.80337,0.83374,0.62454,0.9719,1.17519,1.09166,0.000106778,0.000106778,0.000106778
32,16686.1,1.03352,1.29542,1.08897,0.92342,0.80471,0.83403,0.62323,0.97799,1.14509,1.09235,0.000101571,0.000101571,0.000101571
33,17210.2,1.02442,1.22957,1.07952,0.93314,0.78552,0.8301,0.61843,1.01244,1.19275,1.10408,9.63632e-05,9.63632e-05,9.63632e-05
34,17734.6,1.01478,1.26228,1.07216,0.92768,0.78715,0.8316,0.62119,0.98272,1.1796,1.09302,9.11558e-05,9.11558e-05,9.11558e-05
35,29321.8,1.01416,1.22238,1.06911,0.93244,0.78319,0.82733,0.61515,0.99698,1.20169,1.10349,8.59484e-05,8.59484e-05,8.59484e-05
